director,total_directed
Unknown,2634
"Rajiv Chilaka",22
"Jan Suter",21
"Raúl Campos",19
"Marcus Raboy",16
"Suhas Kadav",16
"Jay Karas",15
"Cathy Garcia-Molina",13
"Jay Chapman",12
"Martin Scorsese",12
